name,year
Алтарь победы,1912
Бемоль,1903
В башне,1903
В зеркале,1903
В подземной тюрьме,1903
Гора Звезды,1899
Декадент,1894
Моцарт,1915
Мраморная головка,1903
Обручение Даши,1913
Огненный ангел,1908
Последние страницы из дневника женщины,1910
Рея Сильвия,1914
Семь земных соблазнов,1911
Юпитер поверженный,1934
