name,year
Белые ночи,1848
Бесы,1872
Братья Карамазовы,1881
Вечный муж,1870
Двойник,1846
Дневник писателя,1881
Дядюшкин сон,1859
Записки из подполья,1864
Игрок,1866
Идиот,1868
Короткая,1876
Скверный анекдот,1862
Униженные и оскорблённые,1861
Чужая жена и муж под кроватью,1848
