name,year
Вечера на хуторе близ Диканьки,1831
Вий,1835
Записки сумасшедшего,1835
Мёртвые души,1842
Нос,1835
Ночь перед Рождеством,1832
Ревизор,1836
Старосветские помещики,1835
Тарас Бульба,1835
Шинель,1842
